Prioridad,Tienda,SKU,Probabilidad_Urgencia,Semana
1,Tienda_D,SKU_08,0.341966702289542,26
2,Tienda_B,SKU_01,0.3384898251140867,26
3,Tienda_A,SKU_07,0.32939836008890766,26
4,Tienda_A,SKU_02,0.32211950086932795,26
5,Tienda_D,SKU_03,0.32159244075686866,26
6,Tienda_E,SKU_08,0.3204488411056692,26
7,Tienda_B,SKU_08,0.3161308326261733,26
8,Tienda_C,SKU_04,0.31161221480908335,26
9,Tienda_A,SKU_05,0.31071072231587893,26
10,Tienda_D,SKU_10,0.2999121173568566,26
11,Tienda_A,SKU_10,0.2976053475378745,26
12,Tienda_E,SKU_05,0.2971167244982146,26
13,Tienda_B,SKU_05,0.29280609946016883,26
14,Tienda_B,SKU_07,0.2909119930761601,26
15,Tienda_A,SKU_15,0.29042847129326715,26
